no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
584,GERAKAN MENCETAK GENERASI EMAS MANDIRI DAN UNGGUL MELALUI SEKOLAH BERBASIS RISET(GEMARIS),Provinsi Jawa Timur,SMAN 1 Tanjunganom (iga2025.sman1tanjunganom),ASN,"Drs. BOWO, M.MPd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,111.0,Penerapan,2025-07-25,2024-01-22,,Ada,https://res5.tuxedovation.com/067c09fa559b2651fac2ac9797e7bb091b19972d.mp4,Sangat Inovatif,-7.639593,112.0076836
585,GERAKAN BERHIAS MENUJU SEKOLAH SEHAT,Provinsi Jawa Timur,SLB Negeri Manisrejo Kota Madiun (iga2024.slb.manisrejo.madiun),ASN,"KEPALA SEKOLAH (ENDANG SRI UTARI, S.Pd)",Inovasi Pelayanan Publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Lingkungan Hidup,109.0,Penerapan,2025-07-25,2023-04-03,2023-03-17,Ada,https://youtu.be/kOQW23pvtDM,Sangat Inovatif,-7.64215348262505,111.54326552089286
586,TARIK BEMO (Tips dan trik Bengkel Matematika),Provinsi Jawa Timur,SMKN TULAKAN (iga2024.smkn.tulakan),ASN,"INTAN SETYANINGSIH, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,106.0,Penerapan,2025-07-25,2024-07-19,2024-12-13,Ada,https://drive.google.com/drive/folders/16DoY5DE40BiiOGiG3NBEGH3CkdtUYjDE?usp=sharing,Sangat Inovatif,-8.1084888,111.3346591
587,GEMA SAKINAH,Provinsi Jawa Timur,SMKN 2 Buduran Sidoarjo (iga2024.smkn2.buduran.sidoarjo),ASN,"Dra. Hj. MARIYA ERNAWATI, M.M",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,111.0,Penerapan,2025-07-25,2024-06-25,,Ada,https://res5.tuxedovation.com/a5439549409258d97af2d3d03b6d85305b15af73.mp4,Sangat Inovatif,-7.437201792796913,112.72275954111784
588,QRITS,Provinsi Jawa Timur,SMK NEGERI KARTOHARJO (iga2024.smk.n.kartoharjo),ASN,"ELVI NUR MUFIDAH, S.Pd., M.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,58.0,Penerapan,2025-07-25,2024-10-12,,Ada,https://www.youtube.com/watch?v=GD-neVVYReo,Inovatif,-7.5345538,111.480494
589,PAK IKSAN,Provinsi Jawa Timur,SLB C NEGERI TULUNGAGUNG (iga2024.slbc.negeri.tulungagung),ASN,"BAMBANG SUTAJI, S.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pangan,"Koperasi, Usaha Kecil, Dan Menengah,Pertanian",107.0,Penerapan,2025-07-25,2024-05-09,2024-07-19,Ada,https://res5.tuxedovation.com/b6b8cd6d72cdd922318d0c94026d71ad9ac4b9e7.mp4,Sangat Inovatif,-8.060999,111.900568
590,SHIBUKU (Shibori untuk Kemandirian Anak Berkebutuhan Khusus),Provinsi Jawa Timur,SLBN 2 KOTA BLITAR (iga2024.slbn.2.blitar),ASN,"KHOIRUN NISAK, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,101.0,Penerapan,2025-07-25,2024-07-11,,Ada,https://www.youtube.com/watch?v=977n2fLJdvM,Sangat Inovatif,-8.1013883,112.1519297
591,UBIN LEBAH SASING Dalam Meningkatkan Literasi dan Kecakapan Abad 21,Provinsi Jawa Timur,SMAN 1 GARUM (iga2024.sman.1.garum),ASN,"Tosari, S.Pd.,M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,97.0,Penerapan,2025-07-25,2023-06-05,2024-10-08,Ada,"https://res5.tuxedovation.com/94edee938370c6e72418bdd24399928826752c8a.jpg, https://res5.tuxedovation.com/995ce27c31453bde133f6f33fb5506ae4984a77a.jpg",Sangat Inovatif,-8.07980561,112.2401619
592,PEMANFAATAN DASHBOARD MONITORING PEMANTIK DALAM MENDUKUNG TRANSFORMASI DIGITAL,Provinsi Jawa Timur,UPT TIKP  (jatimprov.dispendik.UPTtikp),ASN,"Dr. MUSTAKIM, S.S., M.Si",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,76.0,Penerapan,2025-07-25,2024-09-30,,Ada,https://res5.tuxedovation.com/14cc587f10231c1ffd194482cc9cf7c753006054.mp4,Sangat Inovatif,-7.306687158087061,112.75733247391753
593,GEMILANG ( GERAKAN MEMBERSIHKAN LINGKUNGAN SEBELUM PULANG ),Provinsi Jawa Timur,"SMAN 1 WONGSOREJO, KAB. BANYUWANGI  (jatimprov.dispendik.sman1wongsorejo)",ASN,"Very Andika Dwiyanto, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Tidak Ada,91.0,Penerapan,2025-07-25,2023-09-11,2023-10-16,Ada,https://youtube.com/shorts/86skWzyCMno?si=tUfPDGPwBLNwnkZs,Sangat Inovatif,8.0353995,114.4141012
594,PECEL KEMANGI,Provinsi Jawa Timur,SMKN 3 MADIUN (iga2024.smkn3madiun),ASN,DIAH FAHMAWATI,Inovasi Pelayanan Publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Lingkungan Hidup,48.0,Penerapan,2025-07-25,2024-07-31,2025-02-05,Ada,https://drive.google.com/file/d/1I4dkUG3j9hdvOKSGUiT2GSbEQ5HGLwn2/view?usp=drive_link,Inovatif,,
595,KIWA (KIR WASH),Provinsi Jawa Timur,SMAN 1 NGADIROJO (iga2024.sman.1.ngadirojo),Masyarakat,"FAJAR KHAIRINNISA,S.Sos",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Lingkungan Hidup,Koperasi, Usaha Kecil, Dan Menengah,Penelitian Dan Pengembangan",15.0,Penerapan,2025-07-25,2025-04-21,,Tidak Ada,-,Kurang Inovatif,-8.2313321,111.3078808
596,SISTER SMANIWA,Provinsi Jawa Timur,SMAN 1 Wonoayu Sidoarjo (iga2024.sman1.wonoayu.sidoarjo),ASN,"Dr. Ririn Faridah, M.Pd.",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pemberdayaan Perempuan Dan Pelindungan Anak,107.0,Penerapan,2025-07-25,2024-06-03,,Ada,https://res5.tuxedovation.com/6885c58303be06e0f151151a652de5255dc77edd.mp4,Sangat Inovatif,-7.430155,112.617962
597,One Stop Service Unit Layanan Disabilitas Terintegrasi SLB Negeri Banyuwangi,Provinsi Jawa Timur,SLB NEGERI BANYUWANGI (iga2024.slbn.banyuwangi),ASN,"MASFUFAH, S.Pd., M.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Sosial,Tenaga Kerja,Pendidikan Dan Pelatihan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan",45.0,Penerapan,2025-07-25,2023-09-18,2023-10-16,Tidak Ada,-,Inovatif,-8.2111499,114.3478376
598,INOVASI JUTEKS (JUMAT LITERASI KITAB SUCI),Provinsi Jawa Timur,SMKN 6 Surabaya (iga2025.smkn6surabaya),ASN,SMK Negeri 6 Surabaya,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kebudayaan,Pendidikan Dan Pelatihan",85.0,Penerapan,2025-07-25,2024-08-01,2024-09-01,Ada,https://res5.tuxedovation.com/32666f35923aa26f56e2dd3964d14432f9ca8e0e.mp4,Sangat Inovatif,-7.316373687516002,112.74142293873558
599,SMALL SCALE SCIENCE,Provinsi Jawa Timur,SMAN 1 BANYUWANGI (iga2024.sman1.banyuwangi),ASN,"RATNA MEITARINI, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Lingkungan Hidup,107.0,Penerapan,2025-07-25,2023-10-01,2024-01-18,Ada,https://res5.tuxedovation.com/26b2f962b5ccf72c36172e68e76b1c3e0492a7ee.mp4,Sangat Inovatif,-8.228207888510195,114.37130402208881
600,GRASPER PROYEK PEMBUATAN KERTAS DARI RUMPUT DI SEKITAR SEKOLAH,Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"Yovi Ocktaviani, S.Pd., Gr",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,108.0,Penerapan,2025-07-25,2024-05-20,2024-11-28,Ada,https://drive.google.com/file/d/1PHwSKYatfixfSMxhubAz0K2x9Rd7oLqn/view?usp=sharing,Sangat Inovatif,-6.860342209783926,111.92851789898988
601,BIOJEK “Biodiesel dari Jelantah dan Kerang”,Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"Amalia Khufyatun Nisa, S.Si., Gr",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Penelitian Dan Pengembangan,97.0,Penerapan,2025-07-25,2024-05-27,2024-11-17,Ada,https://drive.google.com/file/d/1WmouiDixzyIWqAxgnEoqZfoEC7dtriP3/view?usp=drive_link,Sangat Inovatif,-6.860342209783926,111.92851789898988
602,SMEKGATA E-MOTION (Electricity Generated From Innovations In The Mechanical Engineering Department SMK Negeri 3 Tuban). Pemanfaatan Output Keluaran Putaran Mesin Frais Untuk Pembuatan Energi Listrik Sebagai Bentuk Konservasi Energi di Sekolah,Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"Aftoni Heri Septian P, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Penelitian Dan Pengembangan,111.0,Penerapan,2025-07-25,2024-04-27,2024-12-16,Ada,https://youtu.be/T4R52_Te6MQ?feature=shared,Sangat Inovatif,-6.860342209783926,111.92851789898988
603,SHOPEE BRIGHT (Shopee Media Belajar Berwirausaha dengan Sentuhan Teknologi),Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"Dian Pradugawati, S.Pd., Gr",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Penelitian Dan Pengembangan,111.0,Penerapan,2025-07-25,2024-04-29,2024-11-21,Ada,https://drive.google.com/file/d/1crUSapg7SUNXd1_wQv2gVqdkNN7QsnLq/view?usp=drive_link,Sangat Inovatif,-6.860342209783926,111.92851789898988
604,GS3CAMPUR (Gerakan Sekolah Sehat SLB Negeri Campurdarat Tulungagung,Provinsi Jawa Timur,SLB  NEGERI CAMPURDARAT TULUNGAGUNG (iga2024.slbn.campurdarat.tulungagung),ASN,MULTAZAMAH,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Sosial,Lingkungan Hidup,Kepemudaan Dan Olah Raga",105.0,Penerapan,2025-07-26,2023-07-18,2023-09-01,Ada,https://res5.tuxedovation.com/943671f43e47f1543fbcd42dd0ea0bf281d7e74e.mp4,Sangat Inovatif,8.1646,111.8524
605,LATSAR TARUNA UNTUK REVOLUSI MENTAL,Provinsi Jawa Timur,SMKN 1 MEJAYAN KAB  MADIUN (iga2025.SMKN1MEJAYANKABMADIUN),ASN,"Josef Irwantoko, S.Pd, M.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Tenaga Kerja,Pendidikan Dan Pelatihan",66.0,Penerapan,2025-07-26,2023-08-02,2024-08-02,Ada,https://res5.tuxedovation.com/ef36c5843cd2c0489ad4aa2937e29ef37feaa85e.mp4,Sangat Inovatif,-7.5569012099713,111.65977641189609
606,PUSAKA (Pusat Sastra Kita),Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),OPD,"Hesty Ayuningtyas Ika Pratiwi, S.Pd., dkk.",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Tidak Ada,84.0,Penerapan,2025-07-26,2024-07-16,,Ada,https://res5.tuxedovation.com/f0628244afd5d6a27008e67dfc37d74911477eab.mp4,Sangat Inovatif,-7.555709221559722,112.2339609522849
607,Bukit Batari ( Budaya kita Batik dan Tari ),Provinsi Jawa Timur,SMAN 1 CLURING (iga2024.sman.1.cluring),ASN,"Helmi, S.Pd, M.Si",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Pendidikan Dan Pelatihan,104.0,Penerapan,2025-07-26,2023-09-10,2023-10-10,Ada,"https://www.youtube.com/watch?v=4QNU0CobgN4, https://www.youtube.com/watch?v=4QNU0CobgN4",Sangat Inovatif,,
608,LIKULENZ (Limbah Kuliner Eco Enzyme),Provinsi Jawa Timur,SMK NEGERI 2 BOYOLANGU TULUNGAGUNG (iga2024.smkn2.boyolangu.tulungagung),ASN,"HAPSHALITA DHESTIKA, S.Pd., Gr.",Inovasi Tata Kelola Pemerintahan Daerah,Non Digital,"Memantapkan sistem pertahanan keamanan negara dan mendorong kemandirian bangsa melalui swasembada pangan, energi, air, ekonomi kreatif, ekonomi hijau, dan ekonomi biru.",Pendidikan,Lingkungan Hidup,103.0,Penerapan,2025-07-26,2024-11-12,,Ada,https://res5.tuxedovation.com/0b723912eccf3639e659a0dc776693b40dd6919d.mp4,Sangat Inovatif,,
609,"Belajar "" OGS MEMPESONA""  Kelas Virtual dalam PJJ",Provinsi Jawa Timur,SMA Negeri 2 Probolinggo (iga2025.smanegeri2.probolinggo),ASN,"Dra. Erni Prasetyawati,M.Pd.",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Komunikasi Dan Informatika,39.0,Penerapan,2025-07-26,2023-07-17,2023-08-21,Tidak Ada,-,Kurang Inovatif,-7.76505795270612,113.20090851518934
610,PENGEMBANGAN KEGIATAN KEWIRAUSAHAAN HASIL KETAHANAN PANGAN  UBI-UBIAN UNTUK MENCIPTAKAN PENGUSAHA YANG MANDIRI BAGI SISWA BERKEBUTUHAN  KHUSUS DI SLB INSAN MULIA,Provinsi Jawa Timur,SLB Insan Mulia Kab. Mojokerto (iga2024.slb.insan.mulia.mojokerto),Masyarakat,KHOIROTUL AMALIA,Inovasi Pelayanan Publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Pangan,Pertanian",103.0,Penerapan,2025-07-26,2023-05-23,2024-07-23,Ada,https://res5.tuxedovation.com/2908f8b8347456a6a0e59410d9a0d5914a075e3b.mp4,Sangat Inovatif,-7.564085027912899,112.52915629371391
611,Lestari Smanda,Provinsi Jawa Timur,SMAN 2 SIDOARJO (iga2024.sman2.sidoarjo),ASN,"Dr. Hj. Ristiwi Peni, M.Pd., Drs. Soegiarto, M.Pd.",Inovasi Pelayanan Publik,Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Lingkungan Hidup,60.0,Penerapan,2025-07-26,2024-02-19,2025-05-08,Ada,https://drive.google.com/file/d/1OaHZWVy0uZZ9ySZwYCbePLXcQs1JPHNL/view?usp=drive_link,Inovatif,-7.4615593,112.7034941
612,MATIKA - Ebook dan kalkulator grafik step-by-step untuk android.,Provinsi Jawa Timur,SMAN 1 NGRAMBE (jatimprov.dispendik.sman1ngrambe),ASN,"Nugroho Adi Utomo, S.Pd.",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Komunikasi Dan Informatika,Pendidikan Dan Pelatihan",78.0,Penerapan,2025-07-26,2025-05-23,2025-05-22,Ada,https://youtu.be/ke3824JuQ2k?si=dZAKUIN29MGgFiA4,Sangat Inovatif,-7.4623,111.2151
613,Implementasi Program “POLUSI” sebagai Habituasi Pendidikan Karakter di SMA Negeri 2 Probolinggo,Provinsi Jawa Timur,SMA Negeri 2 Probolinggo (iga2025.smanegeri2.probolinggo),ASN,"Dra. Erni Prasetyawati,M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,"Ketenteraman, Ketertiban Umum, Dan Pelindungan Masyarakat,Sosial,Lingkungan Hidup",59.0,Penerapan,2025-07-26,2024-07-15,2024-07-31,Ada,https://drive.google.com/file/d/1oK3IwZlixdgD14me8viwsiPg7ivtriYE/view,Inovatif,-7.76505795270612,113.20090851518934
614,BUDIDAYA KANGKUNG UNTUK MENINGKATKAN KETERAMPILAN VOKASIONAL SISWA TUNAGRAHITA TAHUN 2025,Provinsi Jawa Timur,SLB BUNDA MULIA GERIH KAB. NGAWI (iga2025.slbbundamuliagerihkabupatenngawi),Masyarakat,SUPARNI,Inovasi Pelayanan Publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,"Koperasi, Usaha Kecil, Dan Menengah",71.0,Penerapan,2025-07-26,2024-10-01,2024-11-29,Ada,https://res5.tuxedovation.com/18bcacea7f6fd29765b237a2e2f727f09ca7417f.mp4,Sangat Inovatif,-7.536589,111.366229
615,“TURU ALAS” (TUtoRkU KAkak KelAS) PEMBELAJARAN BERBASIS TEACHING FACTORY SEBAGAI UPAYA PENYELARASAN KOMPETENSI SISWA DENGAN KEBUTUHAN INDUSTRI,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"LYDIA TRISMIANA, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Sosial,24.0,Penerapan,2025-07-26,2024-02-03,,Tidak Ada,-,Kurang Inovatif,-7.780941121247711,113.21219703798779
616,SIKATER (SISTEM INFORMASI KEUANGAN TABUNGAN TERPADU SMAN 1 GONDANG MOJOKERTO),Provinsi Jawa Timur,"SMAN 1 GONDANG, MOJOKERTO (iga2025.sman1gondangmojokerto)",ASN,Drs. Thoyib,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,89.0,Penerapan,2025-07-26,2023-02-02,2023-05-10,Ada,https://res5.tuxedovation.com/0e640ac4a69731d76b1679f8a35fcb713e121da5.mp4,Sangat Inovatif,-7.611954,112.482626
617,“e-Bullying” SLB-B PERTIWI – KOTA MOJOKERTO,Provinsi Jawa Timur,SLB B PERTIWI Kota. Mojokerto (iga2024.slbb.pertiwi.mojokerto),Masyarakat,"AMINAH INDRIYATI, M.Pd",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pemberdayaan Perempuan Dan Pelindungan Anak,84.0,Penerapan,2025-07-26,2023-07-27,2024-02-14,Ada,https://youtu.be/9wMjU222bcM,Sangat Inovatif,-7.478853,112.433647
618,RESTU (Rumah Edukasi SLB Negeri Tumbrasanom) Inovasi Kepemimpina Pembelajaran Kepala Sekolah Berbasis Digital Solusi Efisiensi Kinerja Guru dalam Pembelajaran,Provinsi Jawa Timur,SLBN TUMBRASANOM BOJONEGORO (iga2024.slbn.tumbrasanom.bojonegoro),ASN,Nita Apriliasari,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,100.0,Penerapan,2025-07-26,2023-11-01,2024-11-18,Ada,https://res5.tuxedovation.com/9ecfc67cafc0aa8874310a8557059d01fbd2f660.mp4,Sangat Inovatif,-7.312014222120475,112.0470684920573
619,DISCO (Digital SMARON Community) sebagai wadah untuk menuju transformasi digital bagi guru SMAN Srono Kabupaten Banyuwangi,Provinsi Jawa Timur,SMAN 1 SRONO (jatimprov.dispendik.sman1srono),ASN,"Drs. Hadiri, M.M. dan Hendro Akhmad Sidiq, S.Pd.,Gr.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Komunikasi Dan Informatika,36.0,Penerapan,2025-07-26,2023-09-18,2023-06-12,Tidak Ada,-,Kurang Inovatif,-8.3717606,114.2909795
620,KAMIS WASKITO,Provinsi Jawa Timur,SlB Aisyiyah 08 Kota Mojokerto (iga2024.sib.aisyiyah8.mojokerto),Masyarakat,"TRI YULI ASTUTI, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,24.0,Penerapan,2025-07-26,2024-04-15,,Tidak Ada,-,Kurang Inovatif,-7.4716386,112.4356531
